clip_id,text_label,text_confidence,acoustic_label,acoustic_confidence,final_label,confidence,flagged_for_review,acoustic_features
clip_0000,Calm,0.8277,Calm,0.65,Calm,0.7566,False,"{""mean_pitch"": 102.89, ""pitch_range"": 12.49, ""pitch_std"": 2.9, ""mean_energy"": 0.078, ""energy_std"": 0.06149, ""mean_zcr"": 0.1477, ""duration"": 2.368}"
clip_0001,Calm,0.4994,Calm,0.65,Calm,0.5596,True,"{""mean_pitch"": 104.91, ""pitch_range"": 40.43, ""pitch_std"": 8.54, ""mean_energy"": 0.04408, ""energy_std"": 0.04664, ""mean_zcr"": 0.1826, ""duration"": 3.488}"
clip_0002,Calm,0.9339,Calm,0.65,Calm,0.8203,False,"{""mean_pitch"": 111.0, ""pitch_range"": 8.38, ""pitch_std"": 3.24, ""mean_energy"": 0.07684, ""energy_std"": 0.05895, ""mean_zcr"": 0.2297, ""duration"": 2.016}"
clip_0003,Calm,0.829,Calm,0.65,Calm,0.7574,False,"{""mean_pitch"": 106.83, ""pitch_range"": 37.18, ""pitch_std"": 7.31, ""mean_energy"": 0.0697, ""energy_std"": 0.0636, ""mean_zcr"": 0.1623, ""duration"": 2.08}"
clip_0004,Calm,0.8896,High Stress,0.7,Calm,0.5338,True,"{""mean_pitch"": 105.66, ""pitch_range"": 175.83, ""pitch_std"": 25.88, ""mean_energy"": 0.08482, ""energy_std"": 0.0528, ""mean_zcr"": 0.1756, ""duration"": 20.0}"
clip_0005,Calm,0.5928,Calm,0.65,Calm,0.6157,False,"{""mean_pitch"": 91.78, ""pitch_range"": 63.0, ""pitch_std"": 8.2, ""mean_energy"": 0.08587, ""energy_std"": 0.05097, ""mean_zcr"": 0.1958, ""duration"": 20.0}"
clip_0006,Calm,0.5863,Calm,0.65,Calm,0.6118,False,"{""mean_pitch"": 93.81, ""pitch_range"": 72.88, ""pitch_std"": 11.96, ""mean_energy"": 0.08558, ""energy_std"": 0.05127, ""mean_zcr"": 0.1892, ""duration"": 20.0}"
clip_0007,Calm,0.8073,Calm,0.65,Calm,0.7444,False,"{""mean_pitch"": 93.1, ""pitch_range"": 135.97, ""pitch_std"": 21.47, ""mean_energy"": 0.08448, ""energy_std"": 0.05335, ""mean_zcr"": 0.1846, ""duration"": 20.0}"
clip_0008,Calm,0.9435,High Stress,0.7,Calm,0.5661,True,"{""mean_pitch"": 112.85, ""pitch_range"": 2027.22, ""pitch_std"": 193.55, ""mean_energy"": 0.0859, ""energy_std"": 0.05102, ""mean_zcr"": 0.2094, ""duration"": 20.0}"
clip_0009,Calm,0.8993,Calm,0.65,Calm,0.7996,False,"{""mean_pitch"": 106.39, ""pitch_range"": 138.36, ""pitch_std"": 43.82, ""mean_energy"": 0.08575, ""energy_std"": 0.05096, ""mean_zcr"": 0.1868, ""duration"": 20.0}"
clip_0010,Calm,0.9232,Calm,0.65,Calm,0.8139,False,"{""mean_pitch"": 99.42, ""pitch_range"": 135.57, ""pitch_std"": 21.6, ""mean_energy"": 0.08795, ""energy_std"": 0.04718, ""mean_zcr"": 0.2215, ""duration"": 20.0}"
clip_0011,Calm,0.7363,High Stress,0.7,Calm,0.4418,True,"{""mean_pitch"": 133.81, ""pitch_range"": 184.14, ""pitch_std"": 51.12, ""mean_energy"": 0.06889, ""energy_std"": 0.04111, ""mean_zcr"": 0.2094, ""duration"": 20.0}"
clip_0012,Calm,0.5063,Calm,0.65,Calm,0.5638,True,"{""mean_pitch"": 110.58, ""pitch_range"": 76.93, ""pitch_std"": 23.57, ""mean_energy"": 0.07359, ""energy_std"": 0.04924, ""mean_zcr"": 0.1776, ""duration"": 20.0}"
clip_0013,Calm,0.864,Calm,0.65,Calm,0.7784,False,"{""mean_pitch"": 97.74, ""pitch_range"": 134.79, ""pitch_std"": 25.61, ""mean_energy"": 0.08551, ""energy_std"": 0.05161, ""mean_zcr"": 0.2024, ""duration"": 20.0}"
