clip_id,raw_text,clean_text,tokens,lemmas,stopword_counts,word_count,negation_count,question_count,avg_word_length,is_empty
clip_0000,"Okay, we'll switch off the pit line for a half minute.","okay, we'll switch off the pit line for a half minute.","[""okay"", "","", ""we"", ""'ll"", ""switch"", ""off"", ""the"", ""pit"", ""line"", ""for"", ""a"", ""half"", ""minute"", "".""]","[""okay"", "","", ""we"", ""'ll"", ""switch"", ""off"", ""the"", ""pit"", ""line"", ""for"", ""a"", ""half"", ""minute"", "".""]","{""for"": 1, ""we"": 1, ""the"": 1, ""off"": 1, ""a"": 1}",11,0,0,3.545,False
clip_0001,reported potential concrete dust grid positions 10 to 14.,reported potential concrete dust grid positions 10 to 14.,"[""reported"", ""potential"", ""concrete"", ""dust"", ""grid"", ""positions"", ""10"", ""to"", ""14"", "".""]","[""report"", ""potential"", ""concrete"", ""dust"", ""grid"", ""position"", ""10"", ""to"", ""14"", "".""]","{""to"": 1}",7,0,0,6.286,False
clip_0002,Just let me know about.,just let me know about.,"[""just"", ""let"", ""me"", ""know"", ""about"", "".""]","[""just"", ""let"", ""me"", ""know"", ""about"", "".""]","{""just"": 1, ""about"": 1, ""me"": 1}",5,0,0,3.6,False
clip_0003,"Okay, it's far, 40 seconds, four zero.","okay, it's far, 40 seconds, four zero.","[""okay"", "","", ""it"", ""'s"", ""far"", "","", ""40"", ""seconds"", "","", ""four"", ""zero"", "".""]","[""okay"", "","", ""it"", ""'s"", ""far"", "","", ""40"", ""second"", "","", ""four"", ""zero"", "".""]","{""it"": 1}",6,0,0,4.0,False
clip_0004,"It's a bit like a vehicle. It gets the car ahead of you in two, just ten seconds. It looks to be quite a tight angle, I think. She's sitting next to the top of the car. We can do 11.","it's a bit like a vehicle. it gets the car ahead of you in two, just ten seconds. it looks to be quite a tight angle, i think. she's sitting next to the top of the car. we can do 11.","[""it"", ""'s"", ""a"", ""bit"", ""like"", ""a"", ""vehicle"", ""."", ""it"", ""gets"", ""the"", ""car"", ""ahead"", ""of"", ""you"", ""in"", ""two"", "","", ""just"", ""ten"", ""seconds"", ""."", ""it"", ""looks"", ""to"", ""be"", ""quite"", ""a"", ""tight"", ""angle"", "","", ""i"", ""think"", ""."", ""she"", ""'s"", ""sitting"", ""next"", ""to"", ""the"", ""top"", ""of"", ""the"", ""car"", ""."", ""we"", ""can"", ""do"", ""11"", "".""]","[""it"", ""'s"", ""a"", ""bite"", ""like"", ""a"", ""vehicle"", ""."", ""it"", ""get"", ""the"", ""car"", ""ahead"", ""of"", ""you"", ""in"", ""two"", "","", ""just"", ""ten"", ""second"", ""."", ""it"", ""look"", ""to"", ""be"", ""quite"", ""a"", ""tight"", ""angle"", "","", ""i"", ""think"", ""."", ""she"", ""'s"", ""sit"", ""next"", ""to"", ""the"", ""top"", ""of"", ""the"", ""car"", ""."", ""we"", ""can"", ""do"", ""11"", "".""]","{""just"": 1, ""you"": 1, ""to"": 2, ""i"": 1, ""it"": 3, ""can"": 1, ""a"": 3, ""we"": 1, ""the"": 3, ""in"": 1, ""be"": 1, ""do"": 1, ""she"": 1, ""of"": 2}",40,0,0,3.225,False
clip_0006,very push pull it up see something in front of that 4-1 currently at minus 14 so go straight up there the gap here the loop bar is good send again oh he gets 14,very push pull it up see something in front of that 4-1 currently at minus 14 so go straight up there the gap here the loop bar is good send again oh he gets 14,"[""very"", ""push"", ""pull"", ""it"", ""up"", ""see"", ""something"", ""in"", ""front"", ""of"", ""that"", ""4-1"", ""currently"", ""at"", ""minus"", ""14"", ""so"", ""go"", ""straight"", ""up"", ""there"", ""the"", ""gap"", ""here"", ""the"", ""loop"", ""bar"", ""is"", ""good"", ""send"", ""again"", ""oh"", ""he"", ""gets"", ""14""]","[""very"", ""push"", ""pull"", ""it"", ""up"", ""see"", ""something"", ""in"", ""front"", ""of"", ""that"", ""4-1"", ""currently"", ""at"", ""minus"", ""14"", ""so"", ""go"", ""straight"", ""up"", ""there"", ""the"", ""gap"", ""here"", ""the"", ""loop"", ""bar"", ""be"", ""good"", ""send"", ""again"", ""oh"", ""he"", ""get"", ""14""]","{""there"": 1, ""here"": 1, ""he"": 1, ""again"": 1, ""is"": 1, ""it"": 1, ""up"": 2, ""at"": 1, ""the"": 2, ""so"": 1, ""in"": 1, ""very"": 1, ""that"": 1, ""of"": 1}",32,0,0,3.719,False
clip_0007,"which is good. So the 2-hust is a 7, either head or head. One of them will drop back to you. 100 minus 7 on the front, minus 6 on the rear, current. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 31, 32, 33, 34, 35, 36, 37, 40, 40, 41, 41, 42, 43, 43, 44, 45, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47","which is good. so the 2-hust is a 7, either head or head. one of them will drop back to you. 100 minus 7 on the front, minus 6 on the rear, current. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 31, 32, 33, 34, 35, 36, 37, 40, 40, 41, 41, 42, 43, 43, 44, 45, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47","[""which"", ""is"", ""good"", ""."", ""so"", ""the"", ""2-hust"", ""is"", ""a"", ""7"", "","", ""either"", ""head"", ""or"", ""head"", ""."", ""one"", ""of"", ""them"", ""will"", ""drop"", ""back"", ""to"", ""you"", ""."", ""100"", ""minus"", ""7"", ""on"", ""the"", ""front"", "","", ""minus"", ""6"", ""on"", ""the"", ""rear"", "","", ""current"", ""."", ""1"", "","", ""2"", "","", ""3"", "","", ""4"", "","", ""5"", "","", ""6"", "","", ""7"", "","", ""8"", "","", ""9"", "","", ""10"", "","", ""11"", "","", ""12"", "","", ""13"", "","", ""14"", "","", ""15"", "","", ""16"", "","", ""17"", "","", ""18"", "","", ""19"", "","", ""20"", "","", ""21"", "","", ""22"", "","", ""23"", "","", ""23"", "","", ""24"", "","", ""25"", "","", ""26"", "","", ""27"", "","", ""28"", "","", ""29"", "","", ""30"", "","", ""31"", "","", ""31"", "","", ""31"", "","", ""32"", "","", ""33"", "","", ""34"", "","", ""35"", "","", ""36"", "","", ""37"", "","", ""40"", "","", ""40"", "","", ""41"", "","", ""41"", "","", ""42"", "","", ""43"", "","", ""43"", "","", ""44"", "","", ""45"", "","", ""46"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47""]","[""which"", ""be"", ""good"", ""."", ""so"", ""the"", ""2-hust"", ""be"", ""a"", ""7"", "","", ""either"", ""head"", ""or"", ""head"", ""."", ""one"", ""of"", ""them"", ""will"", ""drop"", ""back"", ""to"", ""you"", ""."", ""100"", ""minus"", ""7"", ""on"", ""the"", ""front"", "","", ""minus"", ""6"", ""on"", ""the"", ""rear"", "","", ""current"", ""."", ""1"", "","", ""2"", "","", ""3"", "","", ""4"", "","", ""5"", "","", ""6"", "","", ""7"", "","", ""8"", "","", ""9"", "","", ""10"", "","", ""11"", "","", ""12"", "","", ""13"", "","", ""14"", "","", ""15"", "","", ""16"", "","", ""17"", "","", ""18"", "","", ""19"", "","", ""20"", "","", ""21"", "","", ""22"", "","", ""23"", "","", ""23"", "","", ""24"", "","", ""25"", "","", ""26"", "","", ""27"", "","", ""28"", "","", ""29"", "","", ""30"", "","", ""31"", "","", ""31"", "","", ""31"", "","", ""32"", "","", ""33"", "","", ""34"", "","", ""35"", "","", ""36"", "","", ""37"", "","", ""40"", "","", ""40"", "","", ""41"", "","", ""41"", "","", ""42"", "","", ""43"", "","", ""43"", "","", ""44"", "","", ""45"", "","", ""46"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47"", "","", ""47""]","{""you"": 1, ""them"": 1, ""which"": 1, ""to"": 1, ""is"": 2, ""a"": 1, ""on"": 2, ""will"": 1, ""the"": 3, ""so"": 1, ""or"": 1, ""of"": 1}",28,0,0,3.464,False
clip_0008,I'm going to reset one second. I'm going to hit it five and a half again. I'm going to push it. I'm going to do six. I'm going to do five and a half. I'm going to do five and a half. I'm going to do six. I'm going to speed up. I'm going to try to switch to soft. I'm going to do five and a half. I'm going to do five and a half. I'm going to do five and a half.,i'm going to reset one second. i'm going to hit it five and a half again. i'm going to push it. i'm going to do six. i'm going to do five and a half. i'm going to do five and a half. i'm going to do six. i'm going to speed up. i'm going to try to switch to soft. i'm going to do five and a half. i'm going to do five and a half. i'm going to do five and a half.,"[""i"", ""'m"", ""going"", ""to"", ""reset"", ""one"", ""second"", ""."", ""i"", ""'m"", ""going"", ""to"", ""hit"", ""it"", ""five"", ""and"", ""a"", ""half"", ""again"", ""."", ""i"", ""'m"", ""going"", ""to"", ""push"", ""it"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""six"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""six"", ""."", ""i"", ""'m"", ""going"", ""to"", ""speed"", ""up"", ""."", ""i"", ""'m"", ""going"", ""to"", ""try"", ""to"", ""switch"", ""to"", ""soft"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""going"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", "".""]","[""i"", ""'m"", ""go"", ""to"", ""reset"", ""one"", ""second"", ""."", ""i"", ""'m"", ""go"", ""to"", ""hit"", ""it"", ""five"", ""and"", ""a"", ""half"", ""again"", ""."", ""i"", ""'m"", ""go"", ""to"", ""push"", ""it"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""six"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""six"", ""."", ""i"", ""'m"", ""go"", ""to"", ""speed"", ""up"", ""."", ""i"", ""'m"", ""go"", ""to"", ""try"", ""to"", ""switch"", ""to"", ""soft"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", ""."", ""i"", ""'m"", ""go"", ""to"", ""do"", ""five"", ""and"", ""a"", ""half"", "".""]","{""and"": 6, ""to"": 14, ""again"": 1, ""i"": 12, ""it"": 2, ""up"": 1, ""a"": 6, ""do"": 7}",84,0,0,2.881,False
clip_0009,I don't know if it's tires but it's... What events are just there? I think we have a good choice here 11.,i don't know if it's tires but it's what events are just there? i think we have a good choice here 11.,"[""i"", ""do"", ""n't"", ""know"", ""if"", ""it"", ""'s"", ""tires"", ""but"", ""it"", ""'s"", ""what"", ""events"", ""are"", ""just"", ""there"", ""?"", ""i"", ""think"", ""we"", ""have"", ""a"", ""good"", ""choice"", ""here"", ""11"", "".""]","[""i"", ""do"", ""n't"", ""know"", ""if"", ""it"", ""'s"", ""tire"", ""but"", ""it"", ""'s"", ""what"", ""events"", ""be"", ""just"", ""there"", ""?"", ""i"", ""think"", ""we"", ""have"", ""a"", ""good"", ""choice"", ""here"", ""11"", "".""]","{""what"": 1, ""just"": 1, ""there"": 1, ""here"": 1, ""if"": 1, ""have"": 1, ""i"": 2, ""it"": 2, ""a"": 1, ""we"": 1, ""but"": 1, ""do"": 1, ""are"": 1}",21,0,1,3.333,False
clip_0010,"to help the rotation, it's high ground energy. So, push, push now, reset, you've got to switch it. Push. There's a feedback on balance, cross-quad balance. There's an increase in up the steer cross. Alright, it's helped.","to help the rotation, it's high ground energy. so, push, push now, reset, you've got to switch it. push. there's a feedback on balance, cross-quad balance. there's an increase in up the steer cross. alright, it's helped.","[""to"", ""help"", ""the"", ""rotation"", "","", ""it"", ""'s"", ""high"", ""ground"", ""energy"", ""."", ""so"", "","", ""push"", "","", ""push"", ""now"", "","", ""reset"", "","", ""you"", ""'ve"", ""got"", ""to"", ""switch"", ""it"", ""."", ""push"", ""."", ""there"", ""'s"", ""a"", ""feedback"", ""on"", ""balance"", "","", ""cross-quad"", ""balance"", ""."", ""there"", ""'s"", ""an"", ""increase"", ""in"", ""up"", ""the"", ""steer"", ""cross"", ""."", ""alright"", "","", ""it"", ""'s"", ""helped"", "".""]","[""to"", ""help"", ""the"", ""rotation"", "","", ""it"", ""'s"", ""high"", ""grind"", ""energy"", ""."", ""so"", "","", ""push"", "","", ""push"", ""now"", "","", ""reset"", "","", ""you"", ""'ve"", ""get"", ""to"", ""switch"", ""it"", ""."", ""push"", ""."", ""there"", ""'s"", ""a"", ""feedback"", ""on"", ""balance"", "","", ""cross-quad"", ""balance"", ""."", ""there"", ""'s"", ""an"", ""increase"", ""in"", ""up"", ""the"", ""steer"", ""cross"", ""."", ""alright"", "","", ""it"", ""'s"", ""help"", "".""]","{""there"": 2, ""you"": 1, ""now"": 1, ""to"": 2, ""it"": 3, ""up"": 1, ""a"": 1, ""on"": 1, ""an"": 1, ""the"": 2, ""so"": 1, ""in"": 1}",36,0,0,4.167,False
