clip_id,source_file,start_sec,end_sec,duration_sec
clip_0000,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,0.224,2.592,2.368
clip_0001,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,15.296,18.784,3.488
clip_0002,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,20.512,22.528,2.016
clip_0003,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,35.744,37.824,2.08
clip_0004,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,38.688,58.688,20.0
clip_0005,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,58.688,78.688,20.0
clip_0006,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,78.688,98.688,20.0
clip_0007,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,98.688,118.688,20.0
clip_0008,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,118.688,138.688,20.0
clip_0009,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,138.688,158.688,20.0
clip_0010,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,158.688,178.688,20.0
clip_0011,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,178.688,198.688,20.0
clip_0012,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,198.688,218.688,20.0
clip_0013,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,218.688,238.688,20.0
clip_0014,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,238.688,258.688,20.0
clip_0015,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,258.688,278.688,20.0
clip_0016,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,278.688,298.688,20.0
clip_0017,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,298.688,318.688,20.0
clip_0018,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,318.688,338.688,20.0
clip_0019,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,338.688,358.688,20.0
clip_0020,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,358.688,378.688,20.0
clip_0021,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,378.688,398.688,20.0
clip_0022,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,398.688,418.688,20.0
clip_0023,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,418.688,423.744,5.056
clip_0024,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,427.008,429.248,2.24
clip_0025,Alexander_Albon_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,431.008,450.88,19.872
clip_0026,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,3.104,12.736,9.632
clip_0027,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,16.064,18.208,2.144
clip_0028,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,19.328,22.432,3.104
clip_0029,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,26.72,32.032,5.312
clip_0030,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,42.016,44.736,2.72
clip_0031,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,46.272,49.152,2.88
clip_0032,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,54.976,62.24,7.264
clip_0033,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,66.208,74.976,8.768
