clip_id,text_label,text_confidence,acoustic_label,acoustic_confidence,final_label,confidence,flagged_for_review,mean_pitch,pitch_range,pitch_std,mean_energy,energy_std,mean_zcr,duration,clean_text,word_count,label_id
clip_0034,Calm,0.6682,Calm,0.65,Calm,0.6609,False,178.68,124.8,26.41,0.08211,0.05677,0.1207,9.44,"we can do build a push-cool-push if the first lap we have a big problem with tires. the plan is to push on lap 1, but if you have a big problem, we can abort and convert to build on single",39,0
clip_0060,Calm,0.8757,Calm,0.65,Calm,0.7854,False,115.6,124.52,34.5,0.08677,0.04925,0.1711,20.0,i can also take a small step more flat what's your point of view? what's your point of view? what's your point of view? what's your point of view? what's your point of view? the only filter i have is the 36 now we are over the limit,47,0
clip_1143,Calm,0.9228,Calm,0.65,Calm,0.8137,False,101.17,54.52,13.04,0.07734,0.06321,0.2239,20.0,"so with traffic we've got lawson on a time lap, he's 13 seconds back. behind him is a jar, 6 seconds behind lawson. heading you we've got albin the car ahead on an out lap. and then, nope, albin's on a time decrypt. and then in sector 3 we've got 4 cars on the track.",51,0
clip_1034,High Stress,0.4688,High Stress,0.7,High Stress,0.2813,False,136.53,336.93,84.95,0.07192,0.06711,0.1626,18.944,i'm not sure what's going on.,6,2
clip_1211,Calm,0.7274,High Stress,0.7,Frustrated,0.4365,False,131.22,178.44,42.13,0.06705,0.03954,0.1307,35.0,"limits at 19 would have been p1, it is p6. so lap time deleted for first time? tell me the name before. first time, lap time deleted. first time, lap time deleted. yeah, we want our other half attack in the time. yeah, okay. and then on g4, mr russell. ah, i am stupid.",50,1
clip_0632,Calm,0.912,Calm,0.65,Calm,0.8072,False,130.64,34.0,8.41,0.07243,0.04536,0.2129,4.96,"i can zoom into those corners. so yeah, see the light before you apply it, let's do it better.",19,0
clip_0223,Calm,0.8724,Calm,0.65,Calm,0.7834,False,118.64,108.54,27.93,0.08468,0.05304,0.1937,20.0,"will be mode push after turn 14, target zero on the bar and standard launch. bots 2, bucktiles box currently p2. this tap in new medium 34.5, you did a 34.5, it's got soft.",29,0
clip_0024,Calm,0.8741,Calm,0.65,Calm,0.7845,False,138.5,41.57,17.32,0.08641,0.04863,0.1892,2.24,"honestly, for me, we just need to",7,0
clip_0544,Calm,0.4808,High Stress,0.7,High Stress,0.2885,False,130.5,299.76,49.31,0.08626,0.05042,0.1541,20.0,"leclerc's turn two and three ah, the leclerc is hamilton's turn one russell's been slowly currently at a turn ten leclerc's the place behind you hamilton just left turn four well behind you is oscar on his outlet hamilton's turn",40,2
clip_0411,Calm,0.9573,Calm,0.65,Calm,0.8344,False,91.9,90.16,26.49,0.08427,0.05352,0.202,20.0,"so six ahead, good to go. at least that time is safe, so we can box. a hopper bird behind, seven seconds, completing that lewis starting at seven seconds. so strut with 13 and more boxpots. have lewis at seven seconds, currently p2 is just four",44,0
