clip_id,text,word_count,language,is_empty,is_very_short
clip_0000,"Okay, we'll switch off the pit line for a half minute.",11,en,False,False
clip_0001,reported potential concrete dust grid positions 10 to 14.,9,en,False,False
clip_0002,Just let me know about.,5,en,False,False
clip_0003,"Okay, it's far, 40 seconds, four zero.",7,en,False,False
clip_0004,"It's a bit like a vehicle. It gets the car ahead of you in two, just ten seconds. It looks to be quite a tight angle, I think. She's sitting next to the top of the car. We can do 11.",41,en,False,False
clip_0005,"8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",112,en,False,False
clip_0006,very push pull it up see something in front of that 4-1 currently at minus 14 so go straight up there the gap here the loop bar is good send again oh he gets 14,35,en,False,False
clip_0007,"which is good. So the 2-hust is a 7, either head or head. One of them will drop back to you. 100 minus 7 on the front, minus 6 on the rear, current. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 31, 32, 33, 34, 35, 36, 37, 40, 40, 41, 41, 42, 43, 43, 44, 45, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47",145,en,False,False
clip_0008,I'm going to reset one second. I'm going to hit it five and a half again. I'm going to push it. I'm going to do six. I'm going to do five and a half. I'm going to do five and a half. I'm going to do six. I'm going to speed up. I'm going to try to switch to soft. I'm going to do five and a half. I'm going to do five and a half. I'm going to do five and a half.,84,en,False,False
clip_0009,I don't know if it's tires but it's... What events are just there? I think we have a good choice here 11.,22,en,False,False
