epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.49381608963012696,0.36063708794160626,0.3788168132305145,0.49281983363610676,0.0001
2,0.3866322637480848,0.517535161384807,0.3372861093708447,0.5094458799885156,0.0001
3,0.30431007935720333,0.604040437920989,0.3368802230272974,0.5504183892871911,0.0001
4,0.24435344829278835,0.6638234957282577,0.4161563387938908,0.5724899102215634,0.0001
5,0.20692480824449483,0.7154579841066506,0.43979437968560625,0.5500960623417664,0.0001
6,0.18298215541769478,0.7583668055592042,0.5055459716490337,0.5142189565036964,5e-05
7,0.14684499813353313,0.7911931053791085,0.606458951319967,0.5168686868686868,5e-05
8,0.12169959470629692,0.8206441656547113,0.6183169484138489,0.4996482245552878,5e-05
9,0.10249668273198254,0.8572505037373812,0.7426425857203347,0.5168598147321551,2.5e-05
10,0.08563866911127287,0.8650703877413193,0.7095995545387268,0.5057183187854695,2.5e-05
